PositionLon,PositionLat,RoadID,RoadName,BIGVOLUME,BIGSPEED,CARVOLUME,CARSPEED,MOTORVOLUME,MOTORSPEED,AVGSPEED,FREESPD,InfoTime,InfoData
121.56761,25.04914,600097A,八德路四段,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-14 14:29:00,2020-01-14
121.56978,25.05073,600170A,基隆路一段,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-14 00:08:00,2020-01-14
121.53065,25.04273,600334A,忠孝東路二段,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-14 20:53:00,2020-01-14
121.50739,25.08266,200100,環河快速道路,0.0,0.0,5.0,64.0,0.0,0.0,64.0,5.0,2020-01-14 22:15:00,2020-01-14
121.5428,25.06247,600529A,民權東路三段,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-14 20:54:00,2020-01-14
121.51364,25.06736,600823A,重慶北路三段,0.0,0.0,9.0,58.0,0.0,0.0,58.0,3.0,2020-01-14 14:33:00,2020-01-14
121.52811,25.0635,200080,新生高架道路,0.0,0.0,4.0,61.0,0.0,0.0,61.0,1.0,2020-01-14 10:13:00,2020-01-14
121.51625,25.02308,200010,水源快速道路,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-14 20:21:00,2020-01-14
121.56891,25.07732,200070,堤頂大道,0.0,0.0,0.0,0.0,2.0,30.0,30.0,3.0,2020-01-14 21:08:00,2020-01-14
121.54887,25.08949,600112A,北安路,0.0,0.0,2.0,29.0,0.0,0.0,29.0,3.0,2020-01-14 20:03:00,2020-01-14
121.53949,24.9886,600673A,羅斯福路六段,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-14 04:02:00,2020-01-14
121.53935,25.02522,600150A,和平東路二段,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-14 12:17:00,2020-01-14
121.48975,25.02691,200100,環河快速道路,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-14 22:00:00,2020-01-14
121.54777,25.04506,200020,市民大道高架道路,0.0,0.0,22.0,71.0,0.0,0.0,71.0,19.0,2020-01-14 08:12:00,2020-01-14
121.56794,25.04716,200090,環東大道,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-14 03:49:00,2020-01-14
121.53658,25.05638,200040,建國南北快速道路,1.0,75.0,21.0,74.0,0.0,0.0,74.0,12.0,2020-01-14 19:50:00,2020-01-14
121.51781,25.06149,600372A,承德路二段,0.0,0.0,6.0,41.0,0.0,0.0,41.0,5.0,2020-01-14 19:55:00,2020-01-14
121.49953,25.0922,600296A,延平北路六段,0.0,0.0,1.0,56.0,0.0,0.0,56.0,0.0,2020-01-14 04:37:00,2020-01-14
121.53949,24.9886,600673A,羅斯福路六段,3.0,40.0,8.0,37.0,0.0,0.0,38.0,14.0,2020-01-14 10:17:00,2020-01-14
121.50405,25.01991,200010,水源快速道路,0.0,0.0,2.0,68.0,0.0,0.0,68.0,1.0,2020-01-14 21:37:00,2020-01-14
121.61374,25.05279,600340A,忠孝東路七段,0.0,0.0,7.0,42.0,5.0,44.0,42.0,6.0,2020-01-14 21:51:00,2020-01-14
121.52283,25.0328,600468A,杭州南路二段,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-14 04:10:00,2020-01-14
121.52649,25.02774,600832A,金山南路二段,1.0,13.0,4.0,22.0,1.0,38.0,23.0,16.0,2020-01-14 08:06:00,2020-01-14
121.50747,25.05447,200100,環河快速道路,0.0,0.0,9.0,54.0,0.0,0.0,54.0,4.0,2020-01-14 14:37:00,2020-01-14
